rank,discipline,yrs.since.phd,yrs.service,sex,salary
Prof,B,19.5,18,Male,139750
Prof,B,20.0,16,Male,173200
AsstProf,B,4.0,3,Male,79750
Prof,B,45.0,39,Male,115000
Prof,B,40.0,41,Male,141500
AssocProf,B,6.0,6,Male,97000
Prof,B,30.0,23,Male,175000
Prof,B,45.0,45,Male,147765
Prof,B,21.0,20,Male,119250
Prof,B,18.0,18,Female,129000
AssocProf,B,12.0,8,Male,119800
AsstProf,B,7.0,2,Male,79800
AsstProf,B,1.0,1,Male,77700
AsstProf,B,2.0,0,Male,78000
Prof,B,20.0,18,Male,104800
Prof,B,12.0,3,Male,117150
Prof,B,19.0,20,Male,101000
Prof,A,38.0,34,Male,103450
Prof,A,37.0,23,Male,124750
Prof,A,39.0,36,Female,137000
Prof,A,31.0,26,Male,89565
Prof,A,36.0,31,Male,102580
Prof,A,34.0,30,Male,93904
Prof,A,24.0,19,Male,113068
AssocProf,A,13.0,8,Female,74830
Prof,A,21.0,8,Male,106294
Prof,A,35.0,23,Male,134885
AsstProf,B,5.0,3,Male,82379
AsstProf,B,11.0,0,Male,77000
Prof,B,12.0,8,Male,118223
Prof,B,20.0,4,Male,132261
AsstProf,B,7.0,2,Male,79916
Prof,B,13.0,9,Male,117256
AsstProf,B,4.0,2,Male,80225
AsstProf,B,4.0,2,Female,80225
AsstProf,B,5.0,0,Female,77000
Prof,B,22.0,21,Male,155750
AsstProf,B,7.0,4,Male,86373
Prof,B,41.0,31,Male,125196
AssocProf,B,9.0,9,Male,100938
Prof,B,23.0,2,Male,146500
AssocProf,B,23.0,23,Male,93418
Prof,B,40.0,27,Male,101299
Prof,B,38.0,38,Male,231545
Prof,B,19.0,19,Male,94384
Prof,B,25.0,15,Male,114778
Prof,B,40.0,28,Male,98193
Prof,B,23.0,19,Female,151768
Prof,B,25.0,25,Female,140096
AsstProf,B,1.0,1,Male,70768
Prof,B,28.0,28,Male,126621
Prof,B,12.0,11,Male,108875
AsstProf,B,11.0,3,Female,74692
Prof,B,16.0,9,Male,106639
AssocProf,B,12.0,11,Male,103760
AssocProf,B,14.0,5,Male,83900
Prof,B,23.0,21,Male,117704
AssocProf,B,9.0,8,Male,90215
AssocProf,B,10.0,9,Male,100135
AsstProf,B,8.0,3,Male,75044
AssocProf,B,9.0,8,Male,90304
AsstProf,B,3.0,2,Male,75243
Prof,B,33.0,31,Male,109785
AssocProf,B,11.0,11,Female,103613
AsstProf,B,4.0,3,Male,68404
AssocProf,B,9.0,8,Male,100522
Prof,B,22.0,12,Male,101000
Prof,B,35.0,31,Male,99418
Prof,B,17.0,17,Female,111512
Prof,B,28.0,36,Male,91412
Prof,B,17.0,2,Male,126320
Prof,B,45.0,45,Male,146856
Prof,B,29.0,19,Male,100131
Prof,B,35.0,34,Male,92391
Prof,B,28.0,23,Male,113398
AsstProf,B,8.0,3,Male,73266
Prof,B,17.0,3,Male,150480
Prof,B,26.0,19,Male,193000
AsstProf,B,3.0,1,Male,86100
AsstProf,B,6.0,2,Male,84240
Prof,B,43.0,28,Male,150743
Prof,B,17.0,16,Male,135585
Prof,B,22.0,20,Male,144640
